city_name,city_country,name,type,cost,duration_mins,description,image_url
Paris,France,Eiffel Tower Summit Access,sightseeing,35,120,Skip-the-line elevator ride to the top of the Eiffel Tower with panoramic city views,
Paris,France,Louvre Museum Guided Tour,culture,55,180,Small-group tour through the Louvre's most famous galleries including the Mona Lisa,
Paris,France,Seine River Dinner Cruise,food,95,150,Evening cruise along the Seine with a three-course French dinner,
Paris,France,Montmartre Food Walking Tour,food,65,150,Guided tasting walk through Montmartre's bakeries cheese shops and wine bars,
Tokyo,Japan,Shibuya and Harajuku Walking Tour,sightseeing,25,180,Explore Tokyo's most iconic youth culture and fashion districts,
Tokyo,Japan,Tsukiji Outer Market Food Tour,food,60,120,Sample fresh sushi tamagoyaki and street food at Tokyo's famous fish market,
Tokyo,Japan,teamLab Planets Digital Art Museum,culture,32,90,Immersive interactive digital art installations,
Tokyo,Japan,Robot Cabaret Night Show,nightlife,70,90,High-energy robot and light show with dinner in Shinjuku,
New York,United States,Statue of Liberty and Ellis Island Tour,sightseeing,45,240,Ferry tour to Liberty Island and Ellis Island immigration museum,
New York,United States,Broadway Show Ticket,culture,120,150,Evening ticket to a top-rated Broadway musical,
New York,United States,Brooklyn Pizza Walking Tour,food,55,150,Guided tasting tour of Brooklyn's best pizza spots,
New York,United States,Central Park Bike Rental,adventure,20,120,Self-guided bike tour through Central Park,
Rome,Italy,Colosseum and Roman Forum Tour,sightseeing,50,180,Skip-the-line guided tour of ancient Rome's most iconic ruins,
Rome,Italy,Vatican Museums and Sistine Chapel,culture,60,210,Guided tour through the Vatican Museums ending at the Sistine Chapel,
Rome,Italy,Trastevere Food and Wine Tour,food,70,180,Evening food crawl through Rome's charming Trastevere neighborhood,
Rome,Italy,Roman Pasta Making Class,other,80,180,Hands-on pasta-making class with a local chef,
Barcelona,Spain,Sagrada Familia Guided Tour,sightseeing,40,90,Skip-the-line entry and guided tour of Gaudi's unfinished masterpiece,
Barcelona,Spain,Park Guell Entry Ticket,sightseeing,15,90,Explore Gaudi's whimsical mosaic park overlooking the city,
Barcelona,Spain,Tapas and Flamenco Night,nightlife,75,150,Traditional tapas dinner followed by a live flamenco performance,
Barcelona,Spain,La Boqueria Market Food Tour,food,50,120,Guided tasting tour through Barcelona's most famous food market,
London,United Kingdom,Tower of London and Crown Jewels,sightseeing,38,150,Explore the historic fortress and view the Crown Jewels,
London,United Kingdom,West End Theatre Show,culture,110,150,Evening ticket to a top West End production,
London,United Kingdom,Borough Market Food Tour,food,55,120,Guided tasting walk through London's oldest food market,
London,United Kingdom,Thames River Evening Cruise,sightseeing,45,90,Sunset cruise along the Thames past major landmarks,
Bangkok,Thailand,Grand Palace and Wat Phra Kaew,sightseeing,20,150,Guided tour of Bangkok's most sacred and ornate temple complex,
Bangkok,Thailand,Chatuchak Weekend Market Tour,other,15,180,Explore one of the world's largest weekend markets,
Bangkok,Thailand,Thai Street Food Night Tour,food,35,150,Guided tuk-tuk food tour through Bangkok's best street food stalls,
Bangkok,Thailand,Muay Thai Boxing Match,nightlife,40,150,Evening ticket to a live Muay Thai boxing match,
Dubai,United Arab Emirates,Burj Khalifa At The Top Access,sightseeing,45,90,Observation deck access on the world's tallest building,
Dubai,United Arab Emirates,Desert Safari with BBQ Dinner,adventure,85,300,Dune bashing camel riding and a Bedouin-style dinner under the stars,
Dubai,United Arab Emirates,Dubai Fountain Show Viewing,other,0,120,Free evening fountain show at the base of the Burj Khalifa,
Dubai,United Arab Emirates,Dhow Cruise Dinner,food,65,150,Traditional wooden boat dinner cruise along Dubai Creek,
Singapore,Singapore,Gardens by the Bay Domes,sightseeing,28,120,Explore the Cloud Forest and Flower Dome conservatories,
Singapore,Singapore,Hawker Centre Food Tour,food,45,150,Guided tasting tour through Singapore's best hawker stalls,
Singapore,Singapore,Marina Bay Sands SkyPark,sightseeing,23,60,Observation deck views over the Marina Bay skyline,
Singapore,Singapore,Night Safari at Singapore Zoo,adventure,40,150,Guided tram tour through a nocturnal wildlife park,
Sydney,Australia,Sydney Opera House Guided Tour,culture,35,60,Behind-the-scenes tour of the iconic performing arts venue,
Sydney,Australia,Bondi to Coogee Coastal Walk,sightseeing,0,150,Scenic self-guided walk along Sydney's eastern beaches,
Sydney,Australia,Sydney Harbour Bridge Climb,adventure,250,210,Guided climb to the summit of the Harbour Bridge,
Sydney,Australia,Darling Harbour Seafood Dinner,food,60,120,Waterfront seafood dinner with harbour views,
Cape Town,South Africa,Table Mountain Cable Car,sightseeing,30,120,Cable car ride to the summit of Table Mountain,
Cape Town,South Africa,Robben Island Museum Tour,culture,35,210,Ferry tour to the former prison island including Nelson Mandela's cell,
Cape Town,South Africa,Cape Peninsula Safari Drive,adventure,90,360,Full-day scenic drive to Cape Point and penguin colonies,
Cape Town,South Africa,Winelands Tasting Tour,food,70,240,Guided wine tasting tour through Stellenbosch and Franschhoek,
Rio de Janeiro,Brazil,Christ the Redeemer and Corcovado,sightseeing,40,120,Train ride up Corcovado Mountain to the iconic statue,
