name,country,region,cost_index,popularity_score,image_url
Paris,France,Europe,78,98,
Tokyo,Japan,Asia,72,95,
New York,United States,North America,85,97,
Rome,Italy,Europe,65,93,
Barcelona,Spain,Europe,60,90,
London,United Kingdom,Europe,88,96,
Bangkok,Thailand,Asia,35,88,
Dubai,United Arab Emirates,Middle East,75,85,
Singapore,Singapore,Asia,80,87,
Sydney,Australia,Oceania,82,89,
Cape Town,South Africa,Africa,45,78,
Rio de Janeiro,Brazil,South America,50,80,
Amsterdam,Netherlands,Europe,70,86,
Istanbul,Turkey,Europe,42,84,
Denpasar,Indonesia,Asia,38,91,
Kyoto,Japan,Asia,68,88,
Prague,Czech Republic,Europe,48,79,
Marrakech,Morocco,Africa,32,74,
Reykjavik,Iceland,Europe,90,70,
Vancouver,Canada,North America,73,76,
Buenos Aires,Argentina,South America,40,72,
Cairo,Egypt,Africa,28,75,
Seoul,South Korea,Asia,66,83,
Lisbon,Portugal,Europe,55,81,
Santorini,Greece,Europe,72,85
